Matrix order, Jacobi Sequential, Jacobi Paralell, Seidel Sequential, Seidel Parallel, Seidel Unstable
1, 0.000500, 0.016400, 0.000400, 0.016600, 0.008500
201, 3.911600, 1.247700, 3.081400, 2.916800, 1.055100
401, 11.447700, 4.266700, 9.598300, 6.351200, 3.632500
601, 26.544600, 8.691300, 20.781000, 16.964000, 9.433100
801, 35.916000, 14.179200, 31.753100, 25.652400, 14.032600
1001, 53.890900, 23.253800, 52.098000, 41.873400, 20.021900
1201, 71.215700, 34.697700, 71.376700, 50.709800, 34.804000
1401, 94.301100, 43.724200, 80.019600, 57.044300, 38.434500
1601, 120.529700, 58.305200, 101.478500, 84.302500, 50.897500
1801, 150.894300, 72.348200, 127.504800, 87.720500, 67.862100
2001, 182.712800, 88.679200, 183.597200, 127.182000, 74.065500
2201, 219.756300, 109.292100, 182.014100, 124.703300, 84.466000
2401, 257.511300, 133.190800, 215.380400, 148.420000, 135.289100
2601, 251.848800, 127.407300, 251.396400, 169.042100, 126.738600
2801, 347.832700, 175.737900, 290.259300, 194.976900, 169.040000
3001, 396.440800, 205.062200, 331.727900, 226.195500, 177.131700
3201, 451.395500, 230.379300, 375.984800, 250.885200, 190.925400
3401, 516.236000, 265.489200, 427.730200, 282.467200, 229.606600
3601, 569.866900, 292.296900, 477.296300, 309.808200, 244.594900
3801, 634.079000, 328.661500, 528.791600, 410.565700, 272.621400
4001, 701.108600, 362.906200, 584.477600, 371.363300, 312.095700
4201, 768.844300, 400.478300, 644.283100, 421.261100, 329.819000
4401, 842.972600, 444.057300, 842.324600, 455.617900, 440.615500
4601, 922.375400, 485.842800, 769.319100, 489.564200, 401.425100
4801, 1003.604000, 530.260300, 836.790600, 511.854200, 443.212000
5001, 1088.142700, 578.386200, 907.915700, 558.500600, 477.162900
5201, 1175.000600, 623.435600, 988.418300, 595.059200, 514.806600
5401, 1267.764200, 671.228000, 1057.555800, 642.937900, 557.647700
5601, 1363.279700, 722.737700, 1138.832000, 681.314200, 599.600300
5801, 1484.832600, 806.705100, 1236.984100, 797.823700, 668.121000
6001, 1558.132600, 830.648200, 1299.231500, 773.115500, 675.427700
6201, 1679.532100, 878.022200, 1404.918500, 824.269000, 809.387000
6401, 1773.745600, 945.846300, 1486.343500, 882.818800, 905.796900
6601, 1884.350600, 996.982900, 1576.097300, 918.850100, 928.298900
6801, 1671.319200, 884.288700, 1682.179400, 969.870700, 878.340000
7001, 1769.821400, 932.976700, 1768.665200, 1030.626800, 930.419000
7201, 1874.797500, 985.459100, 1874.137000, 1091.727700, 986.916600
7401, 2374.903600, 1246.995100, 1976.391100, 1152.325600, 1037.068400
7601, 2498.090400, 1309.177000, 2105.478300, 1205.330800, 1086.749900
7801, 2643.524000, 1374.743700, 2190.716700, 1268.238800, 1144.755400
8001, 2766.258700, 1442.512300, 2317.388400, 1331.573200, 1198.292800
8201, 2911.896400, 1512.938700, 2436.387400, 1398.791600, 1507.909700
8401, 3039.216700, 1583.203100, 2561.448000, 1750.606400, 1476.939800
8601, 3208.093500, 1658.516700, 2687.966100, 1515.450600, 1378.337000
8801, 3343.944600, 1739.306900, 2788.606300, 1578.866000, 1470.368000
9001, 3516.389000, 1812.601500, 2937.446800, 1653.940500, 1507.312100
9201, 3057.019700, 1573.899100, 3060.389000, 1720.558900, 1570.494300
9401, 3820.805700, 1964.104500, 3189.092600, 1804.765900, 1631.623000
9601, 3980.292100, 2047.248300, 3327.336000, 1867.373100, 1734.573800
9801, 4158.021300, 2126.810400, 3459.924900, 2328.799400, 1768.029700
10001, 4320.762700, 2211.790000, 3622.105700, 2014.923500, 2169.703200
10201, 3748.543600, 1915.726200, 3770.485100, 2093.092900, 1913.067500
10401, 3886.424900, 1980.549000, 3891.382700, 2176.421000, 1977.820800
10601, 4037.823200, 2059.420200, 4050.933200, 2251.614300, 2050.437200
10801, 5018.130300, 2552.135600, 4203.797300, 2328.256000, 2124.392400
11001, 4361.894700, 2209.270300, 4355.179500, 2420.576100, 2207.758900
11201, 4519.133200, 2292.224100, 4520.058400, 2495.520500, 2285.092400
11401, 4650.568000, 2368.180300, 4672.122300, 3101.034700, 2361.133000
11601, 4836.821700, 2456.830600, 4822.950200, 3197.271500, 2451.428400
11801, 5997.700800, 3026.428700, 4992.270400, 2758.135600, 2526.679100
12001, 6231.836300, 3149.521000, 5236.429600, 2929.716000, 2603.778300
12201, 6407.354200, 3235.286200, 5342.345300, 2930.341100, 2695.147200
12401, 5529.127800, 2789.753700, 5524.994200, 3030.562700, 2781.696200
12601, 5738.721300, 2951.850900, 5767.689200, 3214.652300, 2923.710300
12801, 7077.588400, 3572.196000, 5878.237500, 3222.083000, 2952.290700
13001, 6078.880400, 3049.236400, 6077.569700, 3320.143900, 3046.902400
13201, 7506.280200, 3768.871700, 6256.530400, 3406.377100, 3136.834400
13401, 6456.366100, 3235.937500, 6455.921000, 3519.607300, 3234.206500
13601, 6645.784400, 3329.326100, 6644.231700, 3604.421300, 3317.106300
13801, 6810.334800, 3427.794300, 6837.563700, 3709.637900, 3418.145200
14001, 8437.762000, 4239.977200, 7071.228500, 3811.769300, 3533.330000
14201, 8692.852600, 4346.989300, 7243.329600, 3906.998000, 3619.987500
14401, 7454.339200, 3723.737800, 7447.492200, 4014.680300, 3712.311800
14601, 9317.981800, 4587.900700, 9172.320500, 4131.375500, 3811.370400
14801, 7831.777100, 3932.651800, 7835.578100, 4231.861500, 3910.480700
15001, 8061.528300, 4039.480300, 8072.740300, 4336.986900, 4028.019100
15201, 8259.585300, 4130.993100, 8273.373100, 4448.670800, 4122.038300
15401, 8501.333600, 4245.259000, 8510.901900, 4575.076200, 4243.491400
15601, 8718.303100, 4354.854000, 8758.948000, 4702.179400, 4358.183100
15801, 10729.166800, 5346.316900, 8971.193400, 4803.498600, 5349.721900
16001, 9176.636800, 4581.606600, 9191.246900, 4941.053900, 4581.083600
16201, 9422.767500, 4711.885600, 9438.677200, 5056.753900, 4713.206400
16401, 12490.510100, 5476.459900, 12509.649000, 5871.619100, 5461.109200
16601, 11830.089500, 5889.017000, 9865.864600, 5298.620200, 4913.161800
16801, 10126.605700, 5030.977700, 10114.256100, 5423.299100, 5048.647200
17001, 13421.401300, 5871.637700, 13434.249000, 6280.576600, 5839.625900
17201, 12684.555300, 6316.989800, 10611.563200, 5679.718400, 5267.336100
17401, 10824.503100, 5389.933200, 10847.562000, 5811.053600, 5387.447800
17601, 14382.894300, 6297.270600, 14403.848000, 6724.014700, 6256.608000
17801, 11329.969400, 5643.941100, 11345.436400, 6081.540400, 5638.207300
18001, 18037.136400, 7891.664800, 15083.732800, 7024.498100, 6548.592300
18201, 14223.974200, 7076.680700, 11877.663400, 6338.894900, 5885.135800
18401, 14532.055500, 7215.933700, 12113.026600, 6455.915700, 6010.395300
18601, 16516.724600, 7072.034400, 16518.776100, 7510.460100, 7015.734200
18801, 15207.022100, 7535.789700, 12676.855800, 8081.087300, 6277.888700
19001, 16757.267600, 7328.677500, 16762.101400, 7804.645100, 7268.427300
19201, 13216.252600, 6546.374800, 13207.681000, 7011.181000, 6541.680900
19401, 13455.446500, 6680.050600, 13471.373300, 7182.449400, 6677.983700
19601, 17847.434900, 7807.164400, 17875.815700, 8307.095200, 7742.307300
19801, 14019.004700, 6968.836100, 14056.995900, 7464.895600, 6960.796100
20001, 22251.920900, 9758.143700, 18589.916900, 8627.141300, 8057.918000
20201, 17530.232400, 8715.760000, 14613.571100, 7745.674800, 7296.636000
20401, 14891.048100, 7417.483100, 14923.664200, 7916.716500, 7414.301100
